系统,设备,故障现象,故障原因,原因归类,部件,隐患等级,监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴向位移大,平衡活塞径向汽封间隙过大，造成轴向推力平衡破坏,检修不良,平衡活塞,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴向位移大,瓦块磨损,检修不良,瓦块,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽缸缸体或结合面漏汽,汽缸螺栓松驰或断裂,制造不良,汽缸螺栓,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽缸缸体或结合面漏汽,汽缸砂眼或产生裂纹,制造不良,汽缸,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽缸缸体或结合面漏汽,结合面有沟槽或夹有杂物,检修不良,汽缸,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽缸缸体或结合面漏汽,汽缸变形,制造不良,汽缸,厂级隐患,自适应观测器监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机转子偏心大,汽轮机转子弯曲,检修不良,转子,厂级隐患,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机转子偏心大,轴封投退不当,运行不当,轴封系统,厂级隐患,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机转子偏心大,汽缸进冷汽冷水,运行不当,汽缸,厂级隐患,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门卡涩,铜套磨损或门杆螺纹损坏,制造不良,传动套,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门卡涩,盘根压得过紧,检修不良,盘根,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门卡涩,阀门气动装置故障,检修不良,气控装置,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门卡涩,阀杆弯曲变形,制造不良,阀杆,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门卡涩,阀芯脱落或阀芯与阀套卡死，造成阀门无法开关,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门外漏,填料压盖紧力不足，填料无压缩量,检修不良,阀门填料,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门外漏,四合块安装不到位,检修不良,四合块,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门外漏,自密封压盖偏斜、安装后预紧力不足,检修不良,自密封压盖,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门外漏,自密封填料、盘根填料老化,检修不良,填料,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门外漏,阀门阀体裂纹或砂眼,制造不良,阀体,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门内漏,阀门密封面磨损或夹有杂物,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门内漏,阀门阀芯阀座密封型线不好,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门内漏,阀芯脱落或阀芯卡涩,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水气控阀门,本体疏水气控阀门内漏,气控装置漏气或膜片损坏,检修不良,气控装置,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门卡涩,铜套磨损或门杆螺纹损坏,制造不良,传动套,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门卡涩,盘根压得过紧,检修不良,盘根,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门卡涩,阀杆弯曲变形,制造不良,阀杆,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门卡涩,阀芯脱落或阀芯与阀套卡死，造成阀门无法开关,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门外漏,填料压盖紧力不足，填料无压缩量,检修不良,阀门填料,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门外漏,四合块安装不到位,检修不良,四合块,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门外漏,自密封压盖偏斜、安装后预紧力不足,检修不良,自密封压盖,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门外漏,自密封填料、盘根填料老化,检修不良,填料,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门外漏,阀门阀体裂纹或砂眼,制造不良,阀体,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门内漏,阀门密封面磨损或夹有杂物,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门内漏,阀门阀芯阀座密封型线不好,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
汽轮机本体及疏水系统,汽轮机本体疏水手动阀门,本体疏水手动阀门内漏,阀芯脱落或阀芯卡涩,检修不良,阀芯及组件,设备缺陷,时序序列关联监测技术
